диктор,уровень,предложение,ИК,величина_подъема,позиция_пика,скорость_подъема,F0старт,F0пик,F0конец,Тслог,Тпик
1,1,1,ИК1,1.40,94.78,11.02,1251,1356,1356,0.134,0.127
2,1,1,ИК1,0.00,0.00,NaN,2949,2949,2937,0.107,0
3,1,1,ИК1,1.30,16.48,86.67,2251,2426,2402,0.091,0.015
4,1,1,ИК1,0.11,12.50,7.33,2273,2287,1890,0.12,0.015
5,1,1,ИК1,0.83,60.26,17.66,1741,1826,1784,0.078,0.047
6,1,1,ИК1,0.15,49.76,1.43,3013,3039,2724,0.211,0.105
7,2,1,ИК1,0.90,78.48,7.26,2854,3006,2930,0.158,0.124
8,2,1,ИК1,1.87,91.09,10.16,2375,2645,2608,0.202,0.184
9,2,1,ИК1,0.00,1.57,0.00,2923,2923,2567,0.127,0.002
10,2,1,ИК1,0.15,64.95,2.38,2612,2635,2623,0.097,0.063
11,2,1,ИК1,2.74,44.90,41.52,1344,1612,1426,0.147,0.066
12,2,1,ИК1,2.55,76.77,16.78,2530,3054,2879,0.198,0.152
13,3,1,ИК1,0.23,33.09,5.11,2670,2705,2565,0.136,0.045
14,3,1,ИК1,1.21,54.12,13.15,3170,3286,3251,0.17,0.092
15,3,1,ИК1,0.00,0.00,NaN,2391,2519,2484,0.143,0.094
16,3,1,ИК1,0.00,0.00,NaN,2588,3054,3019,0.15,0.113
17,3,1,ИК1,0.00,0.00,NaN,2054,2054,1960,0.052,0.001
18,3,1,ИК1,0.41,49.59,6.83,2926,2996,2984,0.121,0.06
1,1,2,ИК1,0.36,13.29,18.95,1100,1123,1065,0.143,0.019
2,1,2,ИК1,0.00,0.00,NaN,2891,2891,2635,0.179,0
3,1,2,ИК1,1.08,75.42,5.97,2519,2682,2647,0.24,0.181
4,1,2,ИК1,0.00,0.00,NaN,2007,2007,1716,0.148,0
5,1,2,ИК1,2.18,10.59,121.11,1472,1670,1449,0.17,0.018
6,1,2,ИК1,0.00,0.00,NaN,2763,2763,2379,0.178,0
7,2,2,ИК1,0.23,9.36,12.11,2769,2806,2685,0.203,0.019
8,2,2,ИК1,0.00,0.00,NaN,2513,2513,2291,0.177,0
9,2,2,ИК1,0.21,8.16,13.13,2926,2961,2286,0.196,0.016
10,2,2,ИК1,0.00,0.00,NaN,2751,2751,2333,0.195,0
11,2,2,ИК1,0.00,0.00,NaN,1472,1472,972,0.177,0
12,2,2,ИК1,0.00,0.00,NaN,2542,2542,2309,0.213,0
13,3,2,ИК1,0.00,0.00,NaN,2623,2623,2426,0.154,0
14,3,2,ИК1,0.00,0.00,NaN,2786,2833,2484,0.845,0.289
15,3,2,ИК1,0.00,0.00,NaN,2370,2370,2218,0.142,0
16,3,2,ИК1,0.00,0.00,NaN,2530,2530,2449,0.162,0
17,3,2,ИК1,0.00,0.00,NaN,1705,1786,1705,0.144,0.02
18,3,2,ИК1,0.00,0.00,NaN,2891,2891,2414,0.175,0
1,1,3,ИК1,1.23,63.69,11.50,1100,1181,995,0.168,0.107
2,1,3,ИК1,0.00,0.00,NaN,2623,2623,2368,0.087,0
3,1,3,ИК1,0.25,17.39,12.50,2379,2414,2054,0.115,0.02
4,1,3,ИК1,0.55,22.50,30.56,1821,1879,1681,0.08,0.018
5,1,3,ИК1,3.37,97.34,18.42,1298,1577,1577,0.188,0.183
6,1,3,ИК1,1.66,87.64,7.31,2205,2426,2379,0.259,0.227
7,2,3,ИК1,0.58,81.91,3.77,2740,2833,2775,0.188,0.154
8,2,3,ИК1,2.36,50.63,29.50,2112,2542,949,0.158,0.08
9,2,3,ИК1,0.12,11.95,6.32,3389,3414,2530,0.159,0.019
10,2,3,ИК1,1.15,84.33,6.29,2431,2599,2551,0.217,0.183
11,2,3,ИК1,1.33,85.78,6.68,1385,1502,877,0.189,0.034
12,2,3,ИК1,0.00,0.00,NaN,2301,2401,2276,0.232,0.199
13,3,3,ИК1,0.00,0.00,NaN,2585,2622,2549,0.214,0.017
14,3,3,ИК1,0.00,0.00,NaN,2534,2569,1265,0.124,0.019
15,3,3,ИК1,0.00,0.00,NaN,2695,2695,2355,0.277,0
16,3,3,ИК1,0.00,0.00,NaN,2499,2499,2405,0.232,0
17,3,3,ИК1,0.00,0.00,NaN,1681,1681,1519,0.173,0
18,3,3,ИК1,0.00,0.00,NaN,2693,2693,2437,0.209,0
1,1,4,ИК2,0.00,0.00,NaN,1542,1542,1251,0.098,0
2,1,4,ИК2,1.75,79.33,12.32,2879,3193,3112,0.179,0.142
3,1,4,ИК2,3.13,81.82,23.19,2333,2775,2682,0.165,0.135
4,1,4,ИК2,0.50,19.54,14.71,2809,2891,1914,0.174,0.034
5,1,4,ИК2,0.00,0.00,NaN,2181,2181,1867,0.112,0
6,1,4,ИК2,2.17,57.14,18.08,3089,3449,3275,0.21,0.12
7,2,4,ИК2,0.17,38.52,3.27,3600,3635,3437,0.135,0.052
8,2,4,ИК2,2.00,82.96,17.86,3263,3612,3589,0.135,0.112
9,2,4,ИК2,4.76,88.24,39.67,3356,4019,3984,0.136,0.12
10,2,4,ИК2,0.38,66.91,4.18,3344,3414,3286,0.136,0.091
11,2,4,ИК2,0.00,0.00,NaN,2321,2321,1867,0.106,0
12,2,4,ИК2,2.81,54.19,28.97,3147,3554,3089,0.179,0.097
13,3,4,ИК2,1.26,57.14,19.69,3065,3310,3310,0.112,0.064
14,3,4,ИК2,0.00,0.00,NaN,3147,3193,3170,0.077,0.061
15,3,4,ИК2,0.00,0.00,NaN,3775,3775,2519,0.203,0
16,3,4,ИК2,0.00,0.00,NaN,3647,3647,2972,0.135,0
17,3,4,ИК2,0.00,0.00,NaN,2205,2356,2356,0.114,0.098
18,3,4,ИК2,0.73,61.24,9.24,3275,3403,3100,0.129,0.079
1,1,5,ИК2,0.74,34.55,12.98,1321,1379,1181,0.165,0.057
