диктор;уровень;предложение;ИК;величина  подъема;позиция  пика;скорость  подъема;F0старт;F0пик;F0конец;Тслог;Тпик
1;1;1;ИК1;1,40;94,78;10,99;1251,00;1356,00;1356,00;0,13;0,13
2;1;1;ИК1;0,00;0,00;0,00;2949,00;2949,00;2937,00;0,11;0,00
3;1;1;ИК1;1,30;16,48;86,41;2251,00;2426,00;2402,00;0,09;0,02
4;1;1;ИК1;0,11;0,13;7,09;2273,00;2287,00;1890,00;0,12;0,02
5;1;1;ИК1;0,83;0,60;17,56;1741,00;1826,00;1784,00;0,08;0,05
6;1;1;ИК1;0,15;0,50;1,42;3013,00;3039,00;2724,00;0,21;0,11
7;2;1;ИК1;0,90;0,78;7,24;2854,00;3006,00;2930,00;0,16;0,12
8;2;1;ИК1;1,86;0,91;10,13;2375,00;2645,00;2608,00;0,20;0,18
9;2;1;ИК1;0,00;0,02;0,00;2923,00;2923,00;2567,00;0,13;0,00
10;2;1;ИК1;0,15;0,65;2,41;2612,00;2635,00;2623,00;0,10;0,06
11;2;1;ИК1;3,15;0,45;47,69;1344,00;1612,00;1426,00;0,15;0,07
12;2;1;ИК1;3,26;0,77;21,44;2530,00;3054,00;2879,00;0,20;0,15
13;3;1;ИК1;0,23;0,33;5,01;2670,00;2705,00;2565,00;0,14;0,05
14;3;1;ИК1;0,62;0,54;6,76;3170,00;3286,00;3251,00;0,17;0,09
15;3;1;ИК1;0,90;0,66;9,60;2391,00;2519,00;2484,00;0,14;0,09
16;3;1;ИК1;2,87;0,75;25,37;2588,00;3054,00;3019,00;0,15;0,11
17;3;1;ИК1;0,00;0,02;0,00;2054,00;2054,00;1960,00;0,05;0,00
18;3;1;ИК1;0,41;0,50;6,82;2926,00;2996,00;2984,00;0,12;0,06
1;1;2;ИК1;0,36;0,13;18,86;1100,00;1123,00;1065,00;0,14;0,02
2;1;2;ИК1;0,00;0,00;0,00;2891,00;2891,00;2635,00;0,18;0,00
3;1;2;ИК1;1,09;0,75;6,00;2519,00;2682,00;2647,00;0,24;0,18
4;1;2;ИК1;0,00;0,00;0,00;2007,00;2007,00;1716,00;0,15;0,00
5;1;2;ИК1;2,18;0,11;121,38;1472,00;1670,00;1449,00;0,17;0,02
6;1;2;ИК1;0,00;0,00;0,00;2763,00;2763,00;2379,00;0,18;0,00
7;2;2;ИК1;0,23;0,09;12,09;2769,00;2806,00;2685,00;0,20;0,02
8;2;2;ИК1;0,00;0,00;0,00;2513,00;2513,00;2291,00;0,18;0,00
9;2;2;ИК1;0,21;0,08;12,87;2926,00;2961,00;2286,00;0,20;0,02
10;2;2;ИК1;0,00;0,00;0,00;2751,00;2751,00;2333,00;0,20;0,00
11;2;2;ИК1;0,00;0,00;0,00;1472,00;1472,00;972,00;0,18;0,00
12;2;2;ИК1;0,00;0,00;0,00;2542,00;2542,00;2309,00;0,21;0,00
13;3;2;ИК1;0,00;0,00;0,00;2623,00;2623,00;2426,00;0,15;0,00
14;3;2;ИК1;0,29;0,34;1,00;2786,00;2833,00;2484,00;0,85;0,29
15;3;2;ИК1;0,00;0,00;0,00;2370,00;2370,00;2218,00;0,14;0,00
16;3;2;ИК1;0,00;0,00;0,00;2530,00;2530,00;2449,00;0,16;0,00
17;3;2;ИК1;0,80;0,14;40,18;1705,00;1786,00;1705,00;0,14;0,02
18;3;2;ИК1;0,00;0,00;0,00;2891,00;2891,00;2414,00;0,18;0,00
1;1;3;ИК1;1,23;0,64;11,50;1100,00;1181,00;995,00;0,17;0,11
2;1;3;ИК1;0,00;0,00;0,00;2623,00;2623,00;2368,00;0,09;0,00
3;1;3;ИК1;0,25;0,17;12,64;2379,00;2414,00;2054,00;0,12;0,02
4;1;3;ИК1;0,54;0,23;30,16;1821,00;1879,00;1681,00;0,08;0,02
5;1;3;ИК1;3,37;0,97;18,42;1298,00;1577,00;1577,00;0,19;0,18
6;1;3;ИК1;1,65;0,88;7,28;2205,00;2426,00;2379,00;0,26;0,23
7;2;3;ИК1;0,58;0,82;3,75;2740,00;2833,00;2775,00;0,19;0,15
8;2;3;ИК1;3,21;0,51;40,10;2112,00;2542,00;949,00;0,16;0,08
9;2;3;ИК1;0,13;0,12;6,70;3389,00;3414,00;2530,00;0,16;0,02
10;2;3;ИК1;1,16;0,84;6,32;2431,00;2599,00;2551,00;0,22;0,18
11;2;3;ИК1;1,40;0,18;41,29;1385,00;1502,00;877,00;0,19;0,03
12;2;3;ИК1;0,74;0,86;3,70;2301,00;2401,00;2276,00;0,23;0,20
13;3;3;ИК1;0,25;0,08;14,47;2585,00;2622,00;2549,00;0,21;0,02
14;3;3;ИК1;0,24;0,15;12,50;2534,00;2569,00;1265,00;0,12;0,02
15;3;3;ИК1;0,00;0,00;0,00;2695,00;2695,00;2355,00;0,28;0,00
16;3;3;ИК1;0,00;0,00;0,00;2499,00;2499,00;2405,00;0,23;0,00
17;3;3;ИК1;0,00;0,00;0,00;1681,00;1681,00;1519,00;0,17;0,00
18;3;3;ИК1;0,00;0,00;0,00;2693,00;2693,00;2437,00;0,21;0,00
1;1;4;ИК2;0,00;0,00;0,00;1542,00;1542,00;1251,00;0,10;0,00
2;1;4;ИК2;1,79;0,79;12,62;2879,00;3193,00;3112,00;0,18;0,14
3;1;4;ИК2;3,00;0,82;22,25;2333,00;2775,00;2682,00;0,17;0,14
4;1;4;ИК2;0,50;0,20;14,65;2809,00;2891,00;1914,00;0,17;0,03
5;1;4;ИК2;0,00;0,00;0,00;2181,00;2181,00;1867,00;0,11;0,00
6;1;4;ИК2;1,91;0,57;15,90;3089,00;3449,00;3275,00;0,21;0,12
7;2;4;ИК2;0,17;0,39;3,22;3600,00;3635,00;3437,00;0,14;0,05
8;2;4;ИК2;1,76;0,83;15,71;3263,00;3612,00;3589,00;0,14;0,11
9;2;4;ИК2;3,12;0,88;26,01;3356,00;4019,00;3984,00;0,14;0,12
10;2;4;ИК2;0,36;0,67;3,94;3344,00;3414,00;3286,00;0,14;0,09
11;2;4;ИК2;0,00;0,00;0,00;2321,00;2321,00;1867,00;0,11;0,00
12;2;4;ИК2;2,11;0,54;21,71;3147,00;3554,00;3089,00;0,18;0,10
13;3;4;ИК2;1,33;0,57;20,80;3065,00;3310,00;3310,00;0,11;0,06
14;3;4;ИК2;0,25;0,79;4,12;3147,00;3193,00;3170,00;0,08;0,06
15;3;4;ИК2;0,00;0,00;0,00;3775,00;3775,00;2519,00;0,20;0,00
16;3;4;ИК2;0,00;0,00;0,00;3647,00;3647,00;2972,00;0,14;0,00
17;3;4;ИК2;1,15;0,86;11,70;2205,00;2356,00;2356,00;0,11;0,10
18;3;4;ИК2;0,66;0,61;8,40;3275,00;3403,00;3100,00;0,13;0,08
1;1;5;ИК2;0,74;0,35;13,05;1321,00;1379,00;1181,00;0,17;0,06
2;1;5;ИК2;0,14;0,66;1,15;2902,00;2926,00;2821,00;0,19;0,12
3;1;5;ИК2;0,22;0,15;6,41;2682,00;2716,00;1984,00;0,23;0,03
4;1;5;ИК2;2,83;0,58;26,67;2554,00;3007,00;2740,00;0,18;0,11
5;1;5;ИК2;0,34;0,07;22,40;1786,00;1821,00;1600,00;0,23;0,02
6;1;5;ИК2;2,05;0,50;12,10;3158,00;3554,00;2740,00;0,34;0,17
7;2;5;ИК2;1,05;0,53;8,50;3356,00;3565,00;3310,00;0,23;0,12
8;2;5;ИК2;3,45;0,83;15,28;3054,00;3728,00;3658,00;0,27;0,23
9;2;5;ИК2;3,03;0,88;21,81;2612,00;3112,00;3089,00;0,16;0,14
10;2;5;ИК2;2,41;0,88;11,47;3042,00;3496,00;3414,00;0,24;0,21
11;2;5;ИК2;4,07;0,58;37,38;1926,00;2437,00;1984,00;0,19;0,11
12;2;5;ИК2;1,49;0,44;13,22;3228,00;3519,00;2833,00;0,26;0,11
13;3;5;ИК2;3,48;0,79;24,50;2821,00;3449,00;3391,00;0,18;0,14
14;3;5;ИК2;0,54;0,58;4,74;3344,00;3449,00;3275,00;0,20;0,11
15;3;5;ИК2;0,86;0,40;9,12;3449,00;3624,00;2635,00;0,23;0,09
16;3;5;ИК2;2,80;0,50;20,12;3182,00;3740,00;2949,00;0,28;0,14
17;3;5;ИК2;1,10;0,55;11,83;2484,00;2647,00;2565,00;0,17;0,09
18;3;5;ИК2;2,14;0,62;17,42;3089,00;3496,00;2972,00;0,20;0,12
1;1;6;ИК2;1,62;0,74;11,60;1414,00;1553,00;1460,00;0,19;0,14
2;1;6;ИК2;1,99;0,77;13,18;3054,00;3426,00;3310,00;0,20;0,15
3;1;6;ИК2;2,03;0,98;11,09;2437,00;2740,00;2740,00;0,19;0,18
4;1;6;ИК2;9,55;0,89;70,74;2008,00;3486,00;3460,00;0,15;0,14
5;1;6;ИК2;5,07;0,50;83,16;1639,00;2197,00;1961,00;0,12;0,06
6;1;6;ИК2;5,95;0,89;31,82;2458,00;3466,00;3454,00;0,21;0,19
7;2;6;ИК2;1,01;0,18;50,59;2775,00;2942,00;2886,00;0,11;0,02
8;2;6;ИК2;2,44;0,92;30,54;2910,00;3351,00;3351,00;0,09;0,08
